Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Single Family Resi,1.67,2019,8,20,8/5/19,2012.0,3.0
Townhouse,1.55,2019,8,20,8/20/19,2584.0,3.0
Single Family Resi,1.35,2019,8,20,8/13/19,2949.0,4.0
Single Family Resi,1.47,2019,8,20,8/15/19,2900.0,4.0
Single Family Resi,1.25,2019,8,20,8/30/19,1117.0,3.0
Single Family Resi,1.02,2019,8,20,8/15/19,1472.0,3.0
Single Family Resi,1.02,2019,8,20,8/25/19,1516.0,3.0
Single Family Resi,1.02,2019,8,20,8/5/19,1508.0,3.0
Single Family Resi,0.92,2019,8,20,8/31/19,1693.0,3.0
Single Family Resi,0.93,2019,8,20,8/2/19,1740.0,4.0
Single Family Resi,0.94,2019,8,20,8/8/19,1804.0,3.0
Single Family Resi,1.25,2019,8,20,8/4/19,1590.0,3.0
Single Family Resi,1.27,2019,8,20,8/24/19,1579.0,3.0
Single Family Resi,1.41,2019,8,20,8/5/19,1561.0,2.0
Single Family Resi,1.5,2019,8,20,8/4/19,2668.0,3.0
Condominium,2.09,2019,8,20,8/9/19,383.0,1.0
See Remarks,2.28,2019,8,20,8/18/19,372.0,0.0
Apartment,1.8,2019,8,20,8/12/19,500.0,1.0
See Remarks,0.84,2019,8,20,8/9/19,1066.0,1.0
See Remarks,1.71,2019,8,20,8/30/19,540.0,1.0
Apartment,2.36,2019,8,20,8/5/19,400.0,0.0
Apartment,2.41,2019,8,20,8/5/19,400.0,1.0
Apartment,2.41,2019,8,20,8/9/19,400.0,1.0
See Remarks,2.45,2019,8,20,8/20/19,400.0,1.0
Apartment,1.71,2019,8,20,8/30/19,585.0,1.0
Condominium,2.4,2019,8,20,8/6/19,416.0,1.0
Apartment,2.5,2019,8,20,8/23/19,400.0,1.0
Apartment,2.5,2019,8,20,8/5/19,400.0,1.0
Apartment,2.5,2019,8,20,8/24/19,410.0,1.0
Apartment,1.95,2019,8,20,8/1/19,525.0,1.0
Apartment,2.56,2019,8,20,8/23/19,400.0,1.0
Apartment,3.07,2019,8,20,8/19/19,340.0,0.0
Apartment,2.15,2019,8,20,8/23/19,500.0,1.0
Apartment,1.87,2019,8,20,8/30/19,585.0,1.0
Quadruplex,1.68,2019,8,20,8/1/19,650.0,1.0
Quadruplex,1.69,2019,8,20,8/13/19,650.0,1.0
Condominium,2.66,2019,8,20,8/10/19,414.0,1.0
Quadruplex,1.71,2019,8,20,8/1/19,650.0,1.0
See Remarks,1.25,2019,8,20,8/25/19,900.0,2.0
Single Family Resi,1.49,2019,8,20,8/1/19,771.0,3.0
Quadruplex,1.6,2019,8,20,8/13/19,750.0,1.0
Apartment,1.69,2019,8,20,8/30/19,725.0,2.0
Apartment,1.43,2019,8,20,8/7/19,868.0,2.0
Apartment,1.72,2019,8,20,8/30/19,725.0,2.0
Duplex,1.01,2019,8,20,8/10/19,1236.0,2.0
Apartment,1.76,2019,8,20,8/30/19,725.0,2.0
Duplex,2.35,2019,8,20,8/16/19,550.0,1.0
Single Family Resi,2.36,2019,8,20,8/16/19,550.0,1.0
Condominium,1.65,2019,8,20,8/10/19,820.0,1.0
Condominium,1.5,2019,8,20,8/1/19,929.0,2.0
Condominium,1.76,2019,8,20,8/7/19,791.0,2.0
Apartment,1.63,2019,8,20,8/14/19,875.0,2.0
Single Family Resi,3.39,2019,8,20,8/1/19,420.0,1.0
Condominium,1.58,2019,8,20,8/30/19,915.0,2.0
Condominium,1.79,2019,8,20,8/15/19,834.0,2.0
Duplex,1.86,2019,8,20,8/6/19,808.0,2.0
Condominium,2.02,2019,8,20,8/15/19,741.0,2.0
Apartment,1.82,2019,8,20,8/6/19,850.0,2.0
Single Family Resi,2.52,2019,8,20,8/25/19,616.0,1.0
Triplex,1.91,2019,8,20,8/19/19,832.0,2.0
Duplex,1.78,2019,8,20,8/1/19,900.0,2.0
Duplex,1.37,2019,8,20,8/3/19,1170.0,2.0
Apartment,1.88,2019,8,20,8/7/19,850.0,2.0
See Remarks,1.88,2019,8,20,8/7/19,850.0,3.0
Apartment,1.91,2019,8,20,8/6/19,850.0,2.0
Duplex,1.55,2019,8,20,8/15/19,1050.0,2.0
See Remarks,1.36,2019,8,20,8/22/19,1250.0,2.0
Condominium,1.73,2019,8,20,8/31/19,984.0,2.0
Condominium,1.85,2019,8,20,8/23/19,920.0,2.0
Condominium,1.93,2019,8,20,8/12/19,906.0,2.0
Single Family Resi,2.8,2019,8,20,8/28/19,624.0,2.0
Duplex,0.63,2019,8,20,8/28/19,2830.0,3.0
Single Family Resi,1.7,2019,8,20,8/14/19,1057.0,2.0
Single Family Resi,1.61,2019,8,20,8/2/19,1180.0,3.0
