Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
Condominium,2.25,2019,8,20,8/15/19
Single Family Resi,1.44,2019,8,20,8/10/19
Duplex,1.23,2019,8,20,8/12/19
Single Family Resi,3.13,2019,8,20,8/9/19
Single Family Resi,2.2,2019,8,20,8/16/19
Condominium,2.03,2019,8,20,8/15/19
Condominium,2.2,2019,8,20,8/12/19
Single Family Resi,2.18,2019,8,20,8/14/19
Single Family Resi,1.6,2019,8,20,8/15/19
Single Family Resi,2.29,2019,8,20,8/15/19
Single Family Resi,1.67,2019,8,20,8/16/19
Single Family Resi,2.47,2019,8,20,8/7/19
Single Family Resi,2.43,2019,8,20,8/10/19
Condominium,1.62,2019,8,20,8/1/19
Single Family Resi,2.86,2019,8,20,8/2/19
Condominium,2.32,2019,8,20,8/26/19
Single Family Resi,2.02,2019,8,20,8/1/19
Single Family Resi,2.59,2019,8,20,8/1/19
Single Family Resi,1.51,2019,8,20,8/13/19
Condominium,2.09,2019,8,20,8/2/19
Single Family Resi,1.32,2019,8,20,8/15/19
Single Family Resi,1.34,2019,8,20,8/21/19
Condominium,3.04,2019,8,20,8/1/19
Condominium,2.18,2019,8,20,8/26/19
Single Family Resi,2.2,2019,8,20,8/11/19
Single Family Resi,2.49,2019,8,20,8/16/19
Single Family Resi,2.41,2019,8,20,8/30/19
Duplex,1.83,2019,8,20,8/1/19
Single Family Resi,1.66,2019,8,20,8/21/19
Single Family Resi,2.35,2019,8,20,8/28/19
Single Family Resi,2.78,2019,8,20,8/1/19
Condominium,2.78,2019,8,20,8/2/19
Single Family Resi,2.38,2019,8,20,8/9/19
Single Family Resi,2.08,2019,8,20,8/30/19
Single Family Resi,3.86,2019,8,20,8/18/19
Condominium,2.67,2019,8,20,8/30/19
Single Family Resi,2.33,2019,8,20,8/10/19
Single Family Resi,2.08,2019,8,20,8/13/19
Single Family Resi,1.06,2019,8,20,8/1/19
Single Family Resi,1.63,2019,8,20,8/16/19
Single Family Resi,2.04,2019,8,20,8/12/19
Single Family Resi,2.37,2019,8,20,8/1/19
Single Family Resi,2.0,2019,8,20,8/1/19
Condominium,2.06,2019,8,20,8/1/19
Single Family Resi,1.81,2019,8,20,8/30/19
Single Family Resi,1.69,2019,8,20,8/3/19
Single Family Resi,1.75,2019,8,20,8/18/19
Single Family Resi,1.62,2019,8,20,8/1/19
Single Family Resi,2.53,2019,8,20,8/25/19
Single Family Resi,1.95,2019,8,20,8/12/19
Single Family Resi,1.89,2019,8,20,8/1/19
Single Family Resi,1.76,2019,8,20,8/29/19
Single Family Resi,1.95,2019,8,20,8/2/19
Condominium,1.53,2019,8,20,8/25/19
Single Family Resi,2.15,2019,8,20,8/19/19
Single Family Resi,1.44,2019,8,20,8/10/19
Single Family Resi,1.1,2019,8,20,8/1/19
Single Family Resi,1.1,2019,8,20,8/13/19
Condominium,1.11,2019,8,20,8/5/19
Single Family Resi,1.23,2019,8,20,8/16/19
Condominium,1.14,2019,8,20,8/12/19
Single Family Resi,1.29,2019,8,20,8/31/19
Single Family Resi,0.96,2019,8,20,8/16/19
Single Family Resi,0.99,2019,8,20,8/11/19
Single Family Resi,0.71,2019,8,20,8/12/19
Single Family Resi,0.98,2019,8,20,8/24/19
See Remarks,2.0,2019,8,20,8/30/19
See Remarks,2.0,2019,8,20,8/31/19
Apartment,2.2,2019,8,20,8/8/19
Condominium,1.97,2019,8,20,8/12/19
Quadruplex,0.31,2019,8,20,8/1/19
Quadruplex,1.69,2019,8,20,8/29/19
Apartment,1.65,2019,8,20,8/13/19
Quadruplex,1.14,2019,8,20,8/22/19
Condominium,1.9,2019,8,20,8/1/19
Condominium,1.98,2019,8,20,8/5/19
Condominium,2.48,2019,8,20,8/1/19
Quadruplex,0.51,2019,8,20,8/6/19
Quadruplex,2.08,2019,8,20,8/30/19
Quadruplex,0.46,2019,8,20,8/15/19
Condominium,1.84,2019,8,20,8/1/19
Condominium,2.12,2019,8,20,8/30/19
Condominium,1.8,2019,8,20,8/15/19
Single Family Resi,1.5,2019,8,20,8/9/19
Condominium,1.49,2019,8,20,8/29/19
Duplex,0.82,2019,8,20,8/29/19
Duplex,0.71,2019,8,20,8/7/19
Condominium,1.32,2019,8,20,8/11/19
Quadruplex,1.56,2019,8,20,8/19/19
Single Family Resi,0.74,2019,8,20,8/4/19
Condominium,1.68,2019,8,20,8/5/19
Condominium,1.68,2019,8,20,8/5/19
Condominium,1.78,2019,8,20,8/20/19
Condominium,1.55,2019,8,20,8/18/19
Single Family Resi,1.69,2019,8,20,8/27/19
Duplex,2.58,2019,8,20,8/1/19
Condominium,1.71,2019,8,20,8/26/19
Single Family Resi,1.93,2019,8,20,8/30/19
Duplex,0.73,2019,8,20,8/12/19
Condominium,1.78,2019,8,20,8/1/19
Duplex,0.75,2019,8,20,8/1/19
Duplex,1.17,2019,8,20,8/5/19
Duplex,1.17,2019,8,20,8/3/19
Apartment,1.9,2019,8,20,8/1/19
